English,Ukrainian
clear,чіткий
order,наказ
em,ЕМ
fact,факт
lord,лорд
captain,капітан
six,шість
hot,гарячий
funny,смішний
black,чорний
mrs.,місіс.
alive,живий
pick,вибирати
feeling,почуття
living,живий
cause,спричинити
ahead,попереду
lose,втрачати
king,король
plan,планувати
dinner,вечеря
sighs,зітхнути
sort,сортувати
leaving,відхід
shouldn,не повинен
running,біг
boss,бос
alright,добре
promise,обіцянка
taken,взято
safe,безпечний
ma,Ма
book,книга
sent,надісланий
white,білий
hour,година
anybody,будь -хто
small,невеликий
perfect,ідеальний
cause,спричинити
lives,життя
special,спеціальний
parents,батьки
s,s
john,Іван
himself,сам
perhaps,можливо
sounds,звуки
serious,серйозний
sick,хворий
company,компанія
ha,га
scared,зляканий
uncle,дядько
poor,бідний
red,червоний
past,минулий
earth,земля
possible,можливий
shoot,вистрілити
touch,торкатися
sound,звук
top,топ
ass,дупа
laughs,сміх
cannot,не може
asking,прохання
win,перемогти
glad,радісно
control,КОНТРОЛЬ
hmm,Хм
human,людський
drive,драйв
hair,волосся
jack,джейм
bitch,сука
luck,удача
murder,вбивство
happens,трапляється
air,повітря
ten,десять
daddy,тато
finally,нарешті
chuckles,посміхатися
fast,швидкий
cold,холодний
seem,здатися
laughing,сміх
words,слів
hospital,лікарня
street,вулиця
hang,підвішувати
dance,танцювати
meeting,зустріч
till,до
others,інші
catch,виловити
follow,дотримуватися
sense,відчуття
sex,секс
lie,лежати
evening,вечір
master,майстер
known,відомий
dream,мріяти
write,писати
million,мільйон
voice,голос
sweet,солодкий
rather,скоріше
felt,фетх
sign,підписувати
lucky,щасливий
somewhere,десь
bet,ставити
o,о
jesus,Ісус
longer,довше
calling,покликання
worked,працював
quiet,спокійно
looked,дивився
less,менше
pull,тягнути
beat,бити
careful,обережний
coffee,кава
return,повернення
secret,таємний
weeks,тиждень
weren,неоднозначний
date,дата
seeing,бачення
fall,падіння
given,даний
ooh,ой
fault,провина
straight,прямо
takes,приймати
song,пісня
future,майбутнє
gentlemen,панове
loved,любити
changed,змінювати
road,дорога
calm,спокій
wonderful,чудовий
mad,шалений
turned,обернутий
drop,опускатися
ladies,дами
learn,навчитися
step,крок
absolutely,абсолютно
early,ранній
explain,пояснювати
clean,чистий
piece,шматок
yesterday,вчора
throw,кидати
picture,картина
land,земля
feet,стоп
wonder,диво
questions,питання
speaking,розмовляючи
worth,вартістю
darling,мила
dude,чувак
giving,надання
president,президент
eye,око
quick,швидкий
moving,що рухається
figure,фігура
state,держави
strong,сильний
sam,Сем
none,ні
amazing,дивовижний
ones,одиничний
works,твори
act,діяти
needed,необхідний
weird,дивний
law,закон
worried,збентежений
report,доповідь
goodbye,до побачення
missing,пропав
choice,вибір
happening,що відбувається
chief,начальник
wedding,весілля
strange,дивний
general,загальний
pain,біль
am,амор
kidding,жарт
decided,вирішив
ya,я
pass,проходити
tired,втомлений
class,клас
officer,офіцер
kept,збережений
wake,прокидатися
worse,гірше
busy,зайняте
eh,так
mistake,помилка
kiss,поцілувати
court,суд
building,будівля
finish,закінчити
during,протягом
age,вік
ship,корабель
caught,спійманий
marry,одружуватися
meant,орієнтований
sell,продавати
dark,темний
watching,спостереження
system,система
suppose,припускати
evidence,доказ
movie,фільм
ride,їздити
t,т
completely,повністю
mouth,рота
totally,повністю
birthday,день народження
tv,телевізор
forgive,пробачити
born,народжений
imagine,уявляти собі
information,інформація
instead,натомість
definitely,безумовно
security,безпека
certainly,безумовно
film,плівка
month,місяць
lying,лежачи
unless,Хібать
train,дістатися
seven,сім
wear,носити
clothes,одяг
michael,Майкл
hotel,готель
christmas,різдвяний
attack,напад
hasn,не
round,круглий
expect,розраховувати
sing,співати
terrible,жахливий
george,Джордж
bag,мішок
history,історія
blue,блакитний
near,близько
broke,зламаний
station,станція
seriously,серйозно
forever,назавжди
david,давид
frank,відвертий
except,за винятком
thinks,думає
message,повідомлення
entire,цілий
joe,Джо
table,стіл
talked,розмовляв
across,поперек
rock,скеля
lovely,милий
handle,ручка
middle,середина
buddy,приятель
paid,оплачений
protect,захищати
using,використання
floor,підлога
ran,побігати
swear,присягнути
spend,витрачати
situation,ситуація
ring,каблучка
anywhere,де завгодно
dangerous,небезпечний
bill,законопроект
york,Йорк
army,армія
lead,вести
bought,куплений
finished,закінчений
fair,справедливий
sun,сонце
letter,літер
fool,дурень
attention,увага
club,клуб
simple,простий
interesting,цікавий
space,простір
test,тест
box,коробка
group,група
single,поодинокий
sitting,сидячий
marriage,шлюб
join,з'єднувати
fear,битися
d,р.
peace,мир
forgot,забутий
force,примушувати
short,короткий
normal,нормальний
charlie,чарлі
present,нинішній
enjoy,насолоджуватися
mike,Майк
crime,злочин
horse,коня
ground,земля
american,американський
count,рахувати
area,область
charge,заряджати
honor,честь
lunch,обід
miles,милі
radio,радіо
idiot,ідіот
ball,куля
surprise,здивувати
paper,паперовий
key,ключ
boat,човен
quickly,швидко
gold,золото
bar,бар
fish,риба
mark,позначати
tom,том
wearing,носіння
crying,плач
accident,нещасний випадок
government,уряд
eight,вісім
fell,впадати
cover,покривати
certain,певний
interested,зацікавлений
deep,глибокий
star,зірка
sea,море
agree,погодитися
problems,проблеми
detective,детектив
prison,в'язниця
major,головний
stick,палиця
offer,пропозиція
difficult,важкий
smart,розумний
personal,особистий
record,запис
stopped,зупинений
hide,сховати
whether,чи
bank,банкнота
trip,поїздка
relax,розслабитися
america,Америка
public,громадський
list,список
afternoon,післяобідній
brain,мозок
fix,виправити
bastard,убік
proud,гордий
tea,чай
service,послуга
screaming,кричущий
forward,вперед
angry,розлючений
park,парк
soul,душа
fighting,бійка
peter,петра
rich,багатий
agent,агент
blow,удар
paul,Павло
dress,плаття
mary,Марії
missed,пропущений
scene,сцена
killing,вбивство
standing,стоячий
saved,врятований
mm,мм
respect,повага
killer,вбивця
ice,крижаний
mess,плутати
tough,жорсткий
feels,відчуваючи
church,церква
sad,сумний
cell,клітина
drunk,п’яний
share,розподіляти
camera,камера
mm-hmm,мм-хм
within,у межах
card,карта
fly,літати
ben,Бен
girlfriend,подруга
laugh,сміятися
smell,запах
broken,зламаний
mum,мама
honest,чесний
often,часто
starting,старіння
calls,дзвінок
y,у
spent,витрачений
third,третій
english,англійська мова
visit,відвідувати
mama,мама
judge,судити
window,вікно
hungry,голодний
dare,наважуватися
relationship,відносини
moved,зворушений
prove,доводити
private,приватний
wall,стіна
seat,місце
i-i,i-i
position,позиція
lieutenant,лейтенант
realize,усвідомлювати
lt,лейтенант
especially,особливо
machine,машина
walking,ходьба
art,мистецтво
pleasure,задоволення
bloody,кривавий
college,коледж
french,французький
involved,задіяний
cry,плакати
became,стався
lived,що жив
impossible,неможливий
obviously,очевидно
neither,ні
accept,приймати
boyfriend,хлопець
besides,до того ж
queen,королева
teacher,викладач
cops,поліцейські
sake,користь
loves,люблять
carry,перенести
teach,навчати
apartment,квартира
upset,засмучений
green,зелений
la,ла
liked,любив
cute,милий
evil,зло
professor,професор
contact,контакт
joke,жарт
cop,копію
huge,величезний
holy,святий
store,магазин
jail,в'язниця
likes,подобається
lawyer,юрист
doubt,сумнів
continue,продовжувати
appreciate,оцінювати
cat,кіт
shop,магазин
driving,водіння
congratulations,Вітаємо
wrote,писав
village,село
quit,кинути
field,поле
james,Джеймс
wine,вино
decision,рішення
south,південь
sleeping,сплячий
slow,повільно
laughter,сміх
island,острів
glass,скляний
beginning,початок
cash,готівка
dying,вмирати
hundred,сотня
whose,чиї
difference,різниця
plane,площина
push,штовхнути
continues,тривати
mmm,ммм
singing,співати
eating,їжа
north,північ
mrs,місіс
tree,дерево
madam,пані
gift,подарунок
truck,вантажівка
putting,ставити
bear,несучий
board,дошка
grab,хапати
beer,пиво
stuck,застряг
magic,магія
support,підтримка
rules,правила
grunts,бурчання
partner,партнер
reach,дістатися
wind,вітер
colonel,полковник
max,максимум
immediately,негайно
seconds,секунди
thousand,тисяча
gives,віддавати
experience,досвід
cheers,ура
victim,жертва
upon,на
computer,комп'ютер
christ,христовий
planet,планета
promised,обіцяний
bus,автобус
henry,генрі
dirty,брудний
search,обшук
staying,перебування
dreams,мрії
arrest,заарештовувати
holding,утримуючий
suddenly,раптово
usually,зазвичай
lots,багато
shoes,взуття
er,ер
jump,стрибати
rid,позбавляти
yo,йо
knock,стукіт
owe,завдячувати
harry,Гаррі
grow,рости
worst,найгірший
river,річка
aunt,тітка
patient,пацієнт
kitchen,кухня
aah,ааа
fat,жир
passed,пропущений
m,м
final,остаточний
summer,літо
bob,бити
listening,слухання
escape,Втеча
everywhere,скрізь
moon,місяць
arms,обертати
turns,повороти
address,адреса
ow,ов
match,поєднувати
gasps,задихатися
grand,грандіозний
yep,так
shh,кадр
nervous,нервовий
de,де
choose,вибирати
themselves,самі
decide,вирішити
mate,поєднати
drinking,пити
press,пресувати
bother,турбувати
foot,стоп
hadn,не
blame,провина
crap,лайна
drugs,наркотики
type,тип
rings,кільця
mission,місія
named,названий
heaven,небо
ii,II
picked,підібраний
paris,Париж
race,гонка
risk,ризик
books,книги
further,подальший
danny,денні
action,дія
allowed,дозволений
orders,замовлення
learned,навчений
price,ціна
arrived,приїхав
nick,зрізати
otherwise,інакше
pictures,картинки
fit,підходити
smoke,палити
favor,користь
played,розіграний
notice,ув'язнення
awesome,дивовижний
smile,посміхатися
director,директор
guard,охороняти
begin,починати
spot,місце
surprised,здивований
innocent,невинний
narrator,оповідач
herself,сама
london,Лондон
feelings,почуття
enemy,ворог
battle,битва
ourselves,ми самі
alex,алекс
dollars,долари
allow,дозволяти
nine,дев'ять
gay,гей
department,департамент
guilty,винний
apart,окремо
earlier,раніше
duty,обов'язок
jim,джим
suit,костюм
bell,дзвоник
west,захід
legs,ноги
hero,герой
destroy,знищувати
stage,сцена
bunch,купа
according,згідно
chicken,курка
bigger,більший
grunting,бурхливий
low,низький
helping,допомога
admit,визнати
closed,ЗАЧИНЕНО
names,імена
witness,засвідчити
upstairs,наверх
arm,рукоятка
steal,крадіжка
jimmy,Джиммі
kick,удар
twice,двічі
cross,перехрестя
ways,шляхи
sergeant,сержант
indeed,дійсно
gas,газовий
keeping,утримання
energy,енергія
pregnant,вагітна
waste,витрачати
helped,допоміг
fired,обстріляний
favorite,улюблений
tony,тоні
taste,смак
locked,заблокований
places,місця
writing,писання
adam,Адам
brothers,брати
starts,старти
prince,принц
form,форма
sold,проданий
silly,дурний
mention,згадувати
build,побудувати
throat,горло
hole,дірка
figured,фігурний
track,трек
ringing,дзвонить
lock,замок
leg,нога
above,нагорі
hiding,приховування
steve,Стів
seemed,здавалося
breakfast,сніданок
engine,двигун
written,написаний
complete,повне
video,відео
applause,оплески
however,однак
pressure,тиск
fresh,свіжий
weapon,озброєння
sky,небо
ms.,РС.
stole,викрадатися
study,вивчення
burn,спалювати
reading,читання
crowd,натовп
treat,лікувати
roll,рулон
double,подвійний
spirit,дух
danger,небезпека
cost,вартість
empty,порожній
level,рівень
memory,пам'ять
itself,сам
acting,діючий
interest,інтерес
nose,ніс
plans,плани
following,наступний
bathroom,ванна кімната
built,побудований
closer,ближче
ray,промінь
sarah,Сара
band,гурт
groans,стогін
apparently,мабуть
excited,схвильований
richard,Річард
losing,програш
animals,тварини
flight,виліт
nature,природа
raise,підняти
pop,поколювати
client,клієнт
bomb,бомба
neck,шия
suspect,підозрювати
warm,зігрівати
extra,додатковий
bottle,пляшка
van,фургон
heavy,важкий
mommy,мама
dogs,собаки
wild,дивний
ridiculous,смішний
simply,просто
lee,лай
animal,тварина
showed,показаний
billy,Біллі
shooting,стрілянина
keeps,зберігається
camp,табір
guns,гармати
medical,медичний
shame,ганьба
hoping,сподівання
whom,хто
bird,птах
majesty,величність
flowers,квіти
famous,відомий
asleep,сплячий
beauty,краса
driver,водій
keys,ключі
rain,дощ
awful,жахливий
large,великий
local,місцевий
deserve,заслуговувати
goddamn,проклятий
stone,камінь
jane,Джейн
grace,благодать
consider,розглянути
weekend,вихідні
wondering,цікавий
lay,покривати
plenty,багато
willing,готовий
pants,штани
sweetheart,мила
skin,шкіра
excellent,відмінний
asshole,мудак
beach,Пляжний
